developer,total_games,average_owner,median_owner,total_revenue,mean_revenue,median_revenue,std_dev_revenue,mean_approval,median_approval,std_dev_approval,rank_score
Blue Bottle Games,1,150000.0,150000.0,1708500.0,1708500.0,1708500.0,0.0,0.9023270055113288,0.9023270055113288,0.0,0.9012708193212531
墨鱼玩游戏,1,1500000.0,1500000.0,10785000.0,10785000.0,10785000.0,0.0,0.8984691766652876,0.8984691766652876,0.0,0.9012335194105834
WeirdBeard,1,350000.0,350000.0,4196500.0,4196500.0,4196500.0,0.0,0.9012281160177685,0.9012281160177685,0.0,0.9012120723894301
Athena Works,1,150000.0,150000.0,238500.0,238500.0,238500.0,0.0,0.902542372881356,0.902542372881356,0.0,0.9007970193277038
Hello There AB,1,150000.0,150000.0,298500.0,298500.0,298500.0,0.0,0.9023949389968369,0.9023949389968369,0.0,0.9006538733191306
"Aspyr (Mac, Linux, & Windows Update)",1,3500000.0,3500000.0,25165000.0,25165000.0,25165000.0,0.0,0.8916343490304709,0.8916343490304709,0.0,0.90032729956238
Dreamworlds,1,350000.0,350000.0,276500.0,276500.0,276500.0,0.0,0.9019417475728155,0.9019417475728155,0.0,0.9001118818193263
Starbreeze,3,18000000.0,1500000.0,134820000.0,44940000.0,16485000.0,58614363.21414743,0.8585560136124712,0.8452187962100882,0.08442688949445447,0.9001012714535793
Monolith Productions,2,3000000.0,1500000.0,106425000.0,53212500.0,53212500.0,1028840.3666264267,0.8571513137915086,0.8571513137915086,0.11104696175167537,0.9000581672065281
Studio Bean,1,75000.0,75000.0,419250.0,419250.0,419250.0,0.0,0.9017595307917888,0.9017595307917888,0.0,0.8999688513350499
Aspyr (Mac & Linux),1,150000.0,150000.0,1798500.0,1798500.0,1798500.0,0.0,0.900990099009901,0.900990099009901,0.0,0.8997484769650471
Lucid Games,1,150000.0,150000.0,1798500.0,1798500.0,1798500.0,0.0,0.900990099009901,0.900990099009901,0.0,0.8997484769650471
Andrew Morrish,1,75000.0,75000.0,524250.0,524250.0,524250.0,0.0,0.9013906447534766,0.9013906447534766,0.0,0.8995884024845295
Cherry Pop Games,1,350000.0,350000.0,1816500.0000000002,1816500.0000000002,1816500.0000000002,0.0,0.9007064364207221,0.9007064364207221,0.0,0.8994249274405787
Playsport Games,1,350000.0,350000.0,8746500.0,8746500.0,8746500.0,0.0,0.8976080570709191,0.8976080570709191,0.0,0.8992172698560935
"JW, Kitty, Jukio, and Dom",1,75000.0,75000.0,524250.0,524250.0,524250.0,0.0,0.9004376367614879,0.9004376367614879,0.0,0.8984715132541775
Swag Soft Holdings Pte Ltd,1,35000.0,35000.0,804650.0,804650.0,804650.0,0.0,0.9002849002849003,0.9002849002849003,0.0,0.8984310337649761
Mixed Realms Pte Ltd,1,35000.0,35000.0,804650.0,804650.0,804650.0,0.0,0.9002849002849003,0.9002849002849003,0.0,0.8984310337649761
O.T.K Games,1,150000.0,150000.0,433500.0,433500.0,433500.0,0.0,0.9004216672072657,0.9004216672072657,0.0,0.8984079656602395
Eggcode,1,350000.0,350000.0,3846500.0,3846500.0,3846500.0,0.0,0.8986845787853345,0.8986845787853345,0.0,0.8980582378693963
HuniePot,2,1100000.0,550000.0,6989000.0,3494500.0,3494500.0,2472045.30702817,0.8971837824118721,0.8971837824118721,0.0909700354879921,0.8978518042804855
Sam Barlow,1,350000.0,350000.0,1746500.0,1746500.0,1746500.0,0.0,0.8993139254589282,0.8993139254589282,0.0,0.897758376328788
Marcelo Barbosa,1,75000.0,75000.0,59250.0,59250.0,59250.0,0.0,0.9,0.9,0.0,0.8977289024831341
Chris Sawyer Productions,2,1500000.0,750000.0,8835000.0,4417500.0,4417500.0,1166726.1889578034,0.8961320213563959,0.8961320213563959,0.04929997276694349,0.8975311323148145
Blue Brain Games,1,75000.0,75000.0,1349249.9999999998,1349249.9999999998,1349249.9999999998,0.0,0.8991683991683992,0.8991683991683992,0.0,0.8973915774851172
Capybara Games,2,500000.0,250000.0,4655000.0,2327500.0,2327500.0,960251.0088513315,0.8976692978811799,0.8976692978811799,0.008407725831973035,0.8972677784589509
"Volition, Inc.",1,750000.0,750000.0,3742500.0,3742500.0,3742500.0,0.0,0.8978349120433018,0.8978349120433018,0.0,0.8970110830817948
Digital Tentacle,1,150000.0,150000.0,598500.0,598500.0,598500.0,0.0,0.8991512730903645,0.8991512730903645,0.0,0.8970006244387617
Codemasters,14,10075000.0,350000.0,263709250.0,18836375.0,10372500.0,27066327.945073895,0.7620781497259795,0.7882316497984553,0.10110752331539444,0.8969877489063798
17-BIT,1,150000.0,150000.0,1078500.0,1078500.0,1078500.0,0.0,0.8989169675090253,0.8989169675090253,0.0,0.8969631544912108
Stolen Couch Games,1,75000.0,75000.0,299250.0,299250.0,299250.0,0.0,0.8991304347826087,0.8991304347826087,0.0,0.8968283686752955
Schell Games,2,425000.0,212500.0,3870750.0,1935375.0,1935375.0,722839.9070679484,0.897436050135582,0.897436050135582,0.04909773618143591,0.8966069895030039
Petit Depotto,1,150000.0,150000.0,418500.0,418500.0,418500.0,0.0,0.898876404494382,0.898876404494382,0.0,0.8965895661257591
Headcannon,1,150000.0,150000.0,2248500.0,2248500.0,2248500.0,0.0,0.8980627784108567,0.8980627784108567,0.0,0.8965400750739421
PagodaWest Games,1,150000.0,150000.0,2248500.0,2248500.0,2248500.0,0.0,0.8980627784108567,0.8980627784108567,0.0,0.8965400750739421
Christian Whitehead,1,150000.0,150000.0,2248500.0,2248500.0,2248500.0,0.0,0.8980627784108567,0.8980627784108567,0.0,0.8965400750739421
Gamious,1,350000.0,350000.0,2446500.0,2446500.0,2446500.0,0.0,0.8978081411898662,0.8978081411898662,0.0,0.8963394649214113
SEGA Studios Australia,1,150000.0,150000.0,1498500.0,1498500.0,1498500.0,0.0,0.897972972972973,0.897972972972973,0.0,0.8960643150851283
Walter Machado,1,150000.0,150000.0,118500.0,118500.0,118500.0,0.0,0.898469387755102,0.898469387755102,0.0,0.8959643533722806
Revolution Software Ltd,2,700000.0,350000.0,8393000.0,4196500.0,4196500.0,3464823.2278140825,0.8947767282064212,0.8947767282064212,0.02553532515324241,0.8957244254024973
Zoom Out Games,3,650000.0,150000.0,1293500.0,431166.6666666667,298500.0,229785.40713747108,0.9017859724577447,0.8977149075081611,0.03510744649050102,0.8956605990240191
Bloodirony,1,75000.0,75000.0,299250.0,299250.0,299250.0,0.0,0.8976660682226212,0.8976660682226212,0.0,0.8951121865929977
Hunter Studio,1,750000.0,750000.0,5242500.0,5242500.0,5242500.0,0.0,0.8955111845068308,0.8955111845068308,0.0,0.8950287853621323
Chris Chung,1,75000.0,75000.0,524250.0,524250.0,524250.0,0.0,0.897489539748954,0.897489539748954,0.0,0.8950164553417451
Team Junkfish,1,150000.0,150000.0,1798500.0,1798500.0,1798500.0,0.0,0.8967861557478368,0.8967861557478368,0.0,0.8948216148674775
Telltale Games,9,5375000.0,350000.0,59146250.0,6571805.555555556,4196500.0,6676485.356478944,0.8705752008253337,0.8724035608308606,0.07411415912160443,0.8945767999479368
Pinkerton Road Studio,1,75000.0,75000.0,974250.0,974250.0,974250.0,0.0,0.8962264150943396,0.8962264150943396,0.0,0.8937584279943527
Claudiu Kiss,1,350000.0,350000.0,5246500.0,5246500.0,5246500.0,0.0,0.8943853911147451,0.8943853911147451,0.0,0.8937113742554734
Blendo Games,2,425000.0,212500.0,3570750.0,1785375.0,1785375.0,934971.9414239124,0.8946670649270523,0.8946670649270523,0.012456164729563743,0.8932136392649374
Konstructors Entertainment,1,75000.0,75000.0,54000.0,54000.0,54000.0,0.0,0.8961038961038961,0.8961038961038961,0.0,0.8931602228698379
Crytek,6,9500000.0,1500000.0,154355000.0,25725833.333333332,16485000.0,24776790.584469706,0.8186535275564282,0.8310331424687732,0.036757553494790894,0.8931268106373906
Breakfall,1,75000.0,75000.0,696749.9999999999,696749.9999999999,696749.9999999999,0.0,0.8954041204437401,0.8954041204437401,0.0,0.8926576406179857
Thomas Brush,1,150000.0,150000.0,1648500.0,1648500.0,1648500.0,0.0,0.8949124270225187,0.8949124270225187,0.0,0.8925515735654774
The Astronauts,1,750000.0,750000.0,11242500.0,11242500.0,11242500.0,0.0,0.8906773113571981,0.8906773113571981,0.0,0.892327760689012
Capybara,3,1250000.0,350000.0,8397500.0,2799166.6666666665,3006500.0,1062284.9586308438,0.8594315514503027,0.8917241379310344,0.0664960200551054,0.8921491284167133
Neversoft,1,75000.0,75000.0,749250.0,749250.0,749250.0,0.0,0.8948004836759371,0.8948004836759371,0.0,0.8919761370143447
Lince Works,1,350000.0,350000.0,5246500.0,5246500.0,5246500.0,0.0,0.8928153522115609,0.8928153522115609,0.0,0.8918713481938443
Waygetter Electronics,1,150000.0,150000.0,598500.0,598500.0,598500.0,0.0,0.8947721179624665,0.8947721179624665,0.0,0.8918684206781371
Project Moon,1,150000.0,150000.0,2923499.9999999995,2923499.9999999995,2923499.9999999995,0.0,0.8937614199947794,0.8937614199947794,0.0,0.8918325063884471
Curve Studios,1,350000.0,350000.0,2446500.0,2446500.0,2446500.0,0.0,0.8938356164383562,0.8938356164383562,0.0,0.8916838165432595
Almighty Games,1,150000.0,150000.0,238500.0,238500.0,238500.0,0.0,0.8946745562130177,0.8946745562130177,0.0,0.8915762365251242
Borealys Games,1,35000.0,35000.0,524650.0,524650.0,524650.0,0.0,0.8942307692307693,0.8942307692307693,0.0,0.8911974974669324
Defiant Development,2,900000.0,450000.0,14811000.0,7405500.0,7405500.0,5426337.438825565,0.8881590712932994,0.8881590712932994,0.031129333075399494,0.8911393721615005
Downpour Interactive,1,350000.0,350000.0,6646499.999999999,6646499.999999999,6646499.999999999,0.0,0.8910133843212237,0.8910133843212237,0.0,0.8904511314725305
Lo-Fi Games,1,350000.0,350000.0,8046499.999999999,8046499.999999999,8046499.999999999,0.0,0.8903865955256014,0.8903865955256014,0.0,0.8904081800896562
davevillz,1,350000.0,350000.0,2446500.0,2446500.0,2446500.0,0.0,0.892651950408225,0.892651950408225,0.0,0.8902966048383206
BeautiFun Games,1,350000.0,350000.0,1746500.0,1746500.0,1746500.0,0.0,0.8929133858267716,0.8929133858267716,0.0,0.8902571865762459
CREATIVE ASSEMBLY,8,13300000.0,1500000.0,358917000.0,44864625.0,52485000.0,36318644.54946955,0.7651403700870049,0.7423287961356602,0.12472257217142278,0.890225423269542
"Vblank Entertainment, Inc.",1,350000.0,350000.0,3846500.0,3846500.0,3846500.0,0.0,0.8919039145907474,0.8919039145907474,0.0,0.8901115565432893
Licorice,1,3500000.0,3500000.0,13965000.0,13965000.0,13965000.0,0.0,0.8874311926605505,0.8874311926605505,0.0,0.8898683891209613
Hemisphere Games,1,750000.0,750000.0,5242500.0,5242500.0,5242500.0,0.0,0.8908523908523909,0.8908523908523909,0.0,0.8895688558517642
Game Grumps,1,350000.0,350000.0,3846500.0,3846500.0,3846500.0,0.0,0.890999415546464,0.890999415546464,0.0,0.8890515179602806
Maschinen-Mensch,1,150000.0,150000.0,1648500.0,1648500.0,1648500.0,0.0,0.8918918918918919,0.8918918918918919,0.0,0.8890116209253565
OVERKILL - a Starbreeze Studio.,1,15000000.0,15000000.0,112350000.0,112350000.0,112350000.0,0.0,0.8452187962100882,0.8452187962100882,0.0,0.8890007492844236
Nixxes software,2,4250000.0,2125000.0,173707500.0,86853750.0,86853750.0,75110650.06458804,0.8190647680337789,0.8190647680337789,0.1531644386105292,0.8886607593140987
Airship Syndicate,1,350000.0,350000.0,8746500.0,8746500.0,8746500.0,0.0,0.888459250446163,0.888459250446163,0.0,0.8884952153973062
Turning Wheel LLC,1,75000.0,75000.0,854250.0,854250.0,854250.0,0.0,0.8917562724014337,0.8917562724014337,0.0,0.8884603084302762
Codemasters Racing Studio,1,1500000.0,1500000.0,37485000.0,37485000.0,37485000.0,0.0,0.875993640699523,0.875993640699523,0.0,0.8880832500713225
Tiger Style,1,350000.0,350000.0,2446500.0,2446500.0,2446500.0,0.0,0.8905038759689923,0.8905038759689923,0.0,0.8877791430464559
CarX Technologies,1,150000.0,150000.0,1485000.0,1485000.0,1485000.0,0.0,0.8907071887784921,0.8907071887784921,0.0,0.8875424223084022
Metalhead Software Inc.,1,75000.0,75000.0,1161750.0,1161750.0,1161750.0,0.0,0.8907563025210085,0.8907563025210085,0.0,0.8874402913299378
Running With Scissors,2,1850000.0,925000.0,11006500.0,5503250.0,5503250.0,7045258.4143521665,0.8864800776100614,0.8864800776100614,0.09111941859591784,0.8872921742947595
Bugbear,4,2200000.0,550000.0,41428000.0,10357000.0,5219500.0,12710201.821109425,0.8670465693914469,0.8735649402184481,0.07367942203782084,0.8871848072425284
Milkstone Studios,2,500000.0,250000.0,6170000.0,3085000.0,3085000.0,1076923.627747112,0.8883060803499955,0.8883060803499955,0.028000844243464308,0.8870428756180351
Alligator Pit,1,150000.0,150000.0,1198500.0,1198500.0,1198500.0,0.0,0.8902925531914894,0.8902925531914894,0.0,0.8869149497598605
Andy Wallace,1,350000.0,350000.0,2516500.0,2516500.0,2516500.0,0.0,0.8897280966767371,0.8897280966767371,0.0,0.8869045401979625
Behold Studios,2,700000.0,350000.0,6783000.0,3391500.0,3391500.0,841457.0696119915,0.8878213073761423,0.8878213073761423,0.060993008543354155,0.8867775714090074
FreakZone Games,1,150000.0,150000.0,598500.0,598500.0,598500.0,0.0,0.8901989683124539,0.8901989683124539,0.0,0.8865088626934993
Tarsier Studios,1,750000.0,750000.0,11992500.0,11992500.0,11992500.0,0.0,0.885353299017314,0.885353299017314,0.0,0.8864587315240028
RageSquid,1,150000.0,150000.0,1648500.0,1648500.0,1648500.0,0.0,0.8896,0.8896,0.0,0.8863256105322607
Dry Cactus,1,750000.0,750000.0,5392500.0,5392500.0,5392500.0,0.0,0.8877374784110535,0.8877374784110535,0.0,0.8859923988662728
"Reflections, a Ubisoft Studio",3,460000.0,75000.0,3286400.0,1095466.6666666667,644250.0,1092686.8448157199,0.8538579635061391,0.8885741265344664,0.07926509998788366,0.8859324732714843
Boxelware,1,150000.0,150000.0,2038500.0,2038500.0,2038500.0,0.0,0.8890746934225195,0.8890746934225195,0.0,0.885902637080935
Blue Isle Studios,3,850000.0,350000.0,10616500.0,3538833.3333333335,2923499.9999999995,1497990.7654366011,0.808709021455321,0.8854538248117321,0.15730892464498925,0.8858967789898301
Ty Taylor and Mario Castañeda,1,750000.0,750000.0,5242500.0,5242500.0,5242500.0,0.0,0.8874849578820698,0.8874849578820698,0.0,0.885622352097231
SUPERHOT Team,2,1650000.0,825000.0,29833499.999999996,14916749.999999998,14916749.999999998,17067082.824109104,0.8771027703702419,0.8771027703702419,0.008852843520453608,0.8856031504736293
MachineGames,1,750000.0,750000.0,11242500.0,11242500.0,11242500.0,0.0,0.8848978501802643,0.8848978501802643,0.0,0.8855544513358719
HopFrog,1,150000.0,150000.0,2248500.0,2248500.0,2248500.0,0.0,0.8885333333333333,0.8885333333333333,0.0,0.8853719267816009
Pilgrim Adventures,2,500000.0,250000.0,388500.0,194250.0,194250.0,170766.28765655123,0.8892402349283652,0.8892402349283652,0.028751983021897673,0.8852815203228597
Jochen Terstiege,1,35000.0,35000.0,384650.0,384650.0,384650.0,0.0,0.8890577507598785,0.8890577507598785,0.0,0.8850657538382203
Thomas Biskup,1,35000.0,35000.0,384650.0,384650.0,384650.0,0.0,0.8890577507598785,0.8890577507598785,0.0,0.8850657538382203
Krzysztof Dycha,1,35000.0,35000.0,384650.0,384650.0,384650.0,0.0,0.8890577507598785,0.8890577507598785,0.0,0.8850657538382203
Lucas Dieguez,1,35000.0,35000.0,384650.0,384650.0,384650.0,0.0,0.8890577507598785,0.8890577507598785,0.0,0.8850657538382203
Zeno Rogue,1,35000.0,35000.0,384650.0,384650.0,384650.0,0.0,0.8890577507598785,0.8890577507598785,0.0,0.8850657538382203
Timofey Shargorodskiy,1,350000.0,350000.0,2446500.0,2446500.0,2446500.0,0.0,0.8879736408566722,0.8879736408566722,0.0,0.884813803436542
Alexey Davydov,1,350000.0,350000.0,2446500.0,2446500.0,2446500.0,0.0,0.8879736408566722,0.8879736408566722,0.0,0.884813803436542
Sergey Dvoynikov,1,350000.0,350000.0,2446500.0,2446500.0,2446500.0,0.0,0.8879736408566722,0.8879736408566722,0.0,0.884813803436542
CyberConnect2 Co. Ltd.,2,2250000.0,1125000.0,48727500.0,24363750.0,24363750.0,18556249.705287974,0.8683815970612898,0.8683815970612898,0.04893090272865068,0.8847161897603834
属音制作组,1,35000.0,35000.0,59150.0,59150.0,59150.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.8847070521716869
Outerminds Inc.,1,35000.0,35000.0,195650.0,195650.0,195650.0,0.0,0.8886217948717948,0.8886217948717948,0.0,0.8844614611899498
Rockstar North,4,22350000.0,3500000.0,499376500.0,124844125.0,61215000.0,169135422.14666083,0.6845901394083088,0.6779452526363308,0.03955069458494836,0.8841594834826421
Red Hook Studios,1,3500000.0,3500000.0,66464999.99999999,66464999.99999999,66464999.99999999,0.0,0.8603914259086672,0.8603914259086672,0.0,0.884114607245162
Digital Reality,1,350000.0,350000.0,2446500.0,2446500.0,2446500.0,0.0,0.8872266973532796,0.8872266973532796,0.0,0.8839384139732495
Tyler Glaiel,2,500000.0,250000.0,2695000.0,1347500.0,1347500.0,425678.2822743015,0.8870620222644026,0.8870620222644026,0.0645040413638701,0.8838681837973669
Runner Duck,1,350000.0,350000.0,5246500.0,5246500.0,5246500.0,0.0,0.8859465737514518,0.8859465737514518,0.0,0.8838214002896717
DigitalEZ,1,35000.0,35000.0,244650.0,244650.0,244650.0,0.0,0.8878648233486943,0.8878648233486943,0.0,0.8835985260139664
Angels Blue Digital Entertainment,1,35000.0,35000.0,244650.0,244650.0,244650.0,0.0,0.8878648233486943,0.8878648233486943,0.0,0.8835985260139664
Cyberdreams,1,150000.0,150000.0,718500.0,718500.0,718500.0,0.0,0.8874734607218684,0.8874734607218684,0.0,0.8833739529707597
Yoji Ojima,1,350000.0,350000.0,21346500.0,21346500.0,21346500.0,0.0,0.8785607196401799,0.8785607196401799,0.0,0.883119104496797
Alastair John Jack,1,150000.0,150000.0,313500.0,313500.0,313500.0,0.0,0.8871763255240444,0.8871763255240444,0.0,0.8828256456184462
CtrlMovie,1,350000.0,350000.0,3496500.0,3496500.0,3496500.0,0.0,0.8854712041884817,0.8854712041884817,0.0,0.8823997585382964
Capcom,18,11750000.0,750000.0,210432500.0,11690694.444444444,10117500.0,10067750.108111497,0.756593985409343,0.7977351722389016,0.1392510939576932,0.8818059910621492
Qwiboo Ltd,1,35000.0,35000.0,55650.0,55650.0,55650.0,0.0,0.8862612612612613,0.8862612612612613,0.0,0.881625843173475
Owlet,1,75000.0,75000.0,449250.0,449250.0,449250.0,0.0,0.8859315589353612,0.8859315589353612,0.0,0.8814338889428789
Just1337 Studio,5,800000.0,150000.0,6092000.0,1218400.0,748500.0,1481021.613194757,0.7946814153687451,0.883495145631068,0.15826335649179568,0.8813661093612186
TreeFortress Games,1,150000.0,150000.0,838500.0,838500.0,838500.0,0.0,0.8856937455068297,0.8856937455068297,0.0,0.8813474760495046
Shawn Beck,1,75000.0,75000.0,344250.0,344250.0,344250.0,0.0,0.8857142857142857,0.8857142857142857,0.0,0.8811273813674462
Cipher Prime Studios,1,150000.0,150000.0,1048500.0,1048500.0,1048500.0,0.0,0.8851224105461394,0.8851224105461394,0.0,0.8807816363373582
